,시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
56,초등학교,북수초등학교,충청남도 아산시 배방읍 호서로 405,,36.76802494,127.0768089,충청남도 아산시청,아산경찰서,Y,2,7,2020-09-01
57,초등학교,선장초등학교(병설유치원 포함),충청남도 아산시 선장면 서부남로 21,,36.78878323,126.8639353,충청남도 아산시청,아산경찰서,Y,4,7,2020-09-01
58,초등학교,송곡초등학교(병설유치원 포함),충청남도 아산시 염치읍 송곡길 112,,36.80778717,127.0183496,충청남도 아산시청,아산경찰서,Y,2,5,2020-09-01
59,초등학교,송남초등학교(병설유치원 포함),충청남도 아산시 송악면 송악로 802,,36.73304469,127.0101536,충청남도 아산시청,아산경찰서,Y,3,7,2020-09-01
60,초등학교,신광초등학교(병설유치원 포함),충청남도 아산시 서부북로 993,,36.78920692,126.9694672,충청남도 아산시청,아산경찰서,Y,2,9,2020-09-01
61,초등학교,신리초등학교(병설유치원 포함),충청남도 아산시 모종로 73-13,,36.78647906,127.0243575,충청남도 아산시청,아산경찰서,Y,1,25,2020-09-01
62,초등학교,신창초등학교(병설유치원 포함),충청남도 아산시 신창면 서부남로 840번길 26,창면 읍,36.78056961,126.9331622,충청남도 아산시청,아산경찰서,Y,3,7,2020-09-01
63,초등학교,신화초등학교(병설유치원 포함),충청남도 아산시 영인면 고룡산로 636,,36.88605323,126.9684044,충청남도 아산시청,아산경찰서,Y,4,7,2020-09-01
64,초등학교,쌍룡초등학교(병설유치원 포함),충청남도 아산시 음봉면 연암율금로 499,,36.88046213,127.0742047,충청남도 아산시청,아산경찰서,Y,3,7,2020-09-01
65,초등학교,아산초등학교(병설유치원 포함),충청남도 아산시 남부로 266,,36.77012087,127.0109883,충청남도 아산시청,아산경찰서,Y,1,25,2020-09-01
66,초등학교,연화초등학교(병설유치원 포함),충청남도 아산시 배방읍 연화로 43,,36.78720043,127.0950581,충청남도 아산시청,아산경찰서,Y,1,25,2020-09-01
67,초등학교,염작초등학교(병설유치원 포함),충청남도 아산시 둔포면 아산밸리중앙로 33,,36.92445214,127.0519555,충청남도 아산시청,아산경찰서,Y,1,20,2020-09-01
68,초등학교,염티초등학교(병설유치원 포함),충청남도 아산시 염치읍 염치로 49,,36.81663164,126.9781341,충청남도 아산시청,아산경찰서,Y,1,7,2020-09-01
69,초등학교,영인초등학교(병설유치원 포함)],충청남도 아산시 영인면 여민루길 20,,36.85488466,126.9541778,충청남도 아산시청,아산경찰서,Y,4,7,2020-09-01
70,초등학교,오목초등학교(병설유치원 포함),충청남도 아산시 신창면 서부북로 547,,36.80853847,126.9278213,충청남도 아산시청,아산경찰서,Y,3,7,2020-09-01
71,초등학교,온양신정초등학교(병설유치원 포함),충청남도 아산시 온천대로 1333번길 29,,36.78788648,126.9868059,충청남도 아산시청,아산경찰서,Y,3,7,2020-09-01
72,초등학교,온양온천초등학교(병설유치원 포함),충청남도 아산시 청운로 90,,36.78330048,127.0088156,충청남도 아산시청,아산경찰서,Y,1,7,2020-09-01
73,초등학교,온양초등학교(병설유치원 포함),충청남도 아산시 온주길 26번길 10,,36.76061021,127.0180678,충청남도 아산시청,아산경찰서,Y,6,5,2020-09-01
74,초등학교,용연초등학교,충청남도 아산시 배방읍 용연동길 25,,36.79236038,127.0925105,충청남도 아산시청,아산경찰서,Y,1,25,2020-09-01
75,초등학교,용화초등학교(병설유치원 포함),충청남도 아산시 시민로 258번길 3-8,,36.77311669,126.9963763,충청남도 아산시청,아산경찰서,Y,2,7,2020-09-01
76,초등학교,월랑초등학교(병설유치원 포함),충청남도 아산시 음봉면 음봉로 515-50,,36.84579794,127.0688365,충청남도 아산시청,아산경찰서,Y,2,14,2020-09-01
77,초등학교,음봉초등학교(병설유치원 포함),충청남도 아산시 음봉면 아산온천로 517,,36.84940365,127.0113604,충청남도 아산시청,아산경찰서,Y,2,7,2020-09-01
78,초등학교,인주초등학교(병설유치원 포함),충청남도 아산시 인주면 서해로 486,,36.87620605,126.8963453,충청남도 아산시청,아산경찰서,Y,1,7,2020-09-01
79,초등학교,중앙초등학교(병설유치원 포함),충청남도 아산시 중앙로 17,,36.77682966,127.0017611,충청남도 아산시청,아산경찰서,Y,2,14,2020-09-01
80,초등학교,천도초등학교(병설유치원 포함),충청남도 아산시 실옥로 45,,36.78697728,126.9921961,충청남도 아산시청,아산경찰서,Y,2,7,2020-09-01
81,초등학교,초사초등학교(병설유치원 포함),충청남도 아산시 초사길 122,,36.75121302,126.9735249,충청남도 아산시청,아산경찰서,Y,2,11,2020-09-01
82,초등학교,충무초등학교,충청남도 아산시 문화로 271-45,,36.79072219,127.0202924,충청남도 아산시청,아산경찰서,Y,3,12,2020-09-01
83,초등학교,탕정초등학교(병설유치원 포함),충청남도 아산시 탕정면 탕정면로 105,,36.80203457,127.0661385,충청남도 아산시청,아산경찰서,Y,4,7,2020-09-01
84,초등학교,퐁기초등학교,충청남도 아산시 남부로 351,,36.77471147,127.0184611,충청남도 아산시청,아산경찰서,Y,1,7,2020-09-01
85,특수학교,성심학교,충청남도 아산시 선장면 아산만로 368,,36.77689032,126.8631494,충청남도 아산시청,아산경찰서,Y,1,7,2020-09-01
86,특수학교,충남다사랑학교,충청남도 아산시 둔포면 아산밸리동로 247,,36.91669771,127.0665883,충청남도 아산시청,아산경찰서,Y,1,7,2020-09-01
