,시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자,제공기관코드,제공기관명
15093,초등학교,서울삼양초등학교,서울특별시 강북구 삼양로49길 17,서울특별시 강북구 미아동 791-1932,37.62329377,127.0161486,강북구청,강북경찰서,Y,6.0,20,2021-05-20,3080000,서울특별시 강북구
15094,초등학교,서울송중초등학교,서울특별시 강북구 오현로 9,서울특별시 강북구 미아동 94-1,37.61700179,127.0314655,강북구청,강북경찰서,Y,7.0,20,2021-05-20,3080000,서울특별시 강북구
15095,초등학교,서울수유초등학교(수유병설유치원 중복),서울특별시 강북구 삼양로74길 39,서울특별시 강북구 수유동 55-5,37.63125065,127.0202922,강북구청,강북경찰서,Y,8.0,6,2021-05-20,3080000,서울특별시 강북구
15096,초등학교,서울우이초등학교,서울특별시 강북구 삼양로99길 36,서울특별시 강북구 수유동 409-6,37.63865468,127.0148082,강북구청,강북경찰서,Y,6.0,7,2021-05-20,3080000,서울특별시 강북구
15097,초등학교,서울번동초등학교,서울특별시 강북구 오현로 204,서울특별시 강북구 번동 236,37.62902557,127.0400394,강북구청,강북경찰서,Y,3.0,20,2021-05-20,3080000,서울특별시 강북구
15098,초등학교,서울오현초등학교,서울특별시 강북구 월계로 221,서울특별시 강북구 번동 248,37.62341903,127.0465747,강북구청,강북경찰서,Y,3.0,30,2021-05-20,3080000,서울특별시 강북구
15099,초등학교,서울영훈초등학교,서울특별시 강북구 도봉로13가길 19,서울특별시 강북구 미아동 471-2,37.61468169,127.0280938,강북구청,강북경찰서,Y,6.0,15,2021-05-20,3080000,서울특별시 강북구
15100,초등학교,서울유현초등학교,서울특별시 강북구 인수봉로37길 24,서울특별시 강북구 수유동 466-52,37.63234744,127.0114196,강북구청,강북경찰서,Y,5.0,20,2021-05-20,3080000,서울특별시 강북구
15101,초등학교,서울송천초등학교,서울특별시 강북구 삼양로20길 29,서울특별시 강북구 미아동 438,37.6149061,127.0237355,강북구청,강북경찰서,Y,6.0,7,2021-05-20,3080000,서울특별시 강북구
15102,초등학교,서울삼각산초등학교,서울특별시 강북구 삼양로19길 141,서울특별시 강북구 미아동 1353-10,37.61614897,127.0145684,강북구청,강북경찰서,Y,3.0,15,2021-05-20,3080000,서울특별시 강북구
15103,유치원,성체유치원,서울특별시 강북구 삼각산로 161,서울특별시 강북구 수유동 185-20,37.64230381,127.0209886,강북구청,강북경찰서,Y,4.0,15,2021-05-20,3080000,서울특별시 강북구
15104,유치원,유안유치원(인수유치원 중복),서울특별시 강북구 인수봉로 297,서울특별시 강북구 수유동 560-17,37.64527486,127.0104879,강북구청,강북경찰서,Y,2.0,20,2021-05-20,3080000,서울특별시 강북구
15105,유치원,금호유치원,서울특별시 성동구 금호산2길 35,서울특별시 성동구 금호동3가 165-1,37.54879131,127.0231125,서울특별시 성동구,성동경찰서,Y,1.0,4,2021-03-03,3030000,서울특별시 성동구
