시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자,제공기관코드,제공기관명,시도명
유치원,서일초병설유치원,광주광역시 북구 설죽로 590(일곡동),광주광역시 북구 일곡동 817-1,35.2123806,126.8989497,광주광역시 북구청,광주광역시 북부경찰서,Y,1,8~20,2021-06-28,3620000,광주광역시 북구,광주광역시
유치원,용두초병설유치원,광주광역시 북구 임방울대로1041번길 25(신용동),광주광역시 북구 신용동 642-1,35.2149568,126.8706496,광주광역시 북구청,광주광역시 북부경찰서,Y,1,6~20,2021-06-28,3620000,광주광역시 북구,광주광역시
유치원,일동초병설유치원,광주광역시 북구 일곡택지로 45(일곡동),광주광역시 북구 일곡동 890-1,35.2060483,126.8933348,광주광역시 북구청,광주광역시 북부경찰서,Y,2,7~20,2021-06-28,3620000,광주광역시 북구,광주광역시
유치원,용주초병설유치원,광주광역시 북구 용주로 15(용봉동),광주광역시 북구 용봉동 1428-1,35.1815832,126.8989703,광주광역시 북구청,광주광역시 북부경찰서,Y,2,6~10,2021-06-28,3620000,광주광역시 북구,광주광역시
유치원,일신초병설유치원,광주광역시 북구 일곡마을로 187(일곡동),광주광역시 북구 일곡동 814-5,35.2111948,126.8951248,광주광역시 북구청,광주광역시 북부경찰서,Y,3,8~20,2021-06-28,3620000,광주광역시 북구,광주광역시
유치원,양지초병설유치원,광주광역시 북구 자라봉로63번길 16(양산동),광주광역시 북구 양산동 928,35.2084203,126.8812952,광주광역시 북구청,광주광역시 북부경찰서,Y,2,6~20,2021-06-28,3620000,광주광역시 북구,광주광역시
유치원,연제초병설유치원,광주광역시 북구 하서로229번길 47(양산동),광주광역시 북구 양산동 688,35.1961686,126.8736969,광주광역시 북구청,광주광역시 북부경찰서,Y,2,7~24,2021-06-28,3620000,광주광역시 북구,광주광역시
유치원,본촌초병설유치원,광주광역시 북구 본촌택지로30번길 22(본촌동),광주광역시 북구 본촌동 2999,35.2152347,126.8814917,광주광역시 북구청,광주광역시 북부경찰서,Y,1,6~8,2021-06-28,3620000,광주광역시 북구,광주광역시
유치원,한울초병설유치원,광주광역시 북구 유림로160번길 15(동림동),광주광역시 북구 동림동 235,35.1762012,126.8664253,광주광역시 북구청,광주광역시 북부경찰서,Y,1,6~20,2021-06-28,3620000,광주광역시 북구,광주광역시
유치원,태봉초병설유치원,광주광역시 북구 청계로 33(용봉동),광주광역시 북구 용봉동 721,35.17651176,126.892299,광주광역시 북구청,광주광역시 북부경찰서,Y,1,8~20,2021-06-28,3620000,광주광역시 북구,광주광역시
유치원,풍향유치원,광주광역시 북구 동문대로10번길 39(풍향동),광주광역시 북구 풍향동 600-7,35.1656534,126.9220099,광주광역시 북구청,광주광역시 북부경찰서,Y,1,5,2021-06-28,3620000,광주광역시 북구,광주광역시
